method,shape,run,fitness,convergence_gen
Lamarckian,T,19,0.6666666666666666,150
Lamarckian,T,20,0.6666666666666666,150
Lamarckian,T,21,0.6666666666666666,150
Lamarckian,T,22,0.6666666666666666,150
Lamarckian,T,23,0.6666666666666666,150
Lamarckian,T,24,0.6666666666666666,150
Lamarckian,T,25,0.6666666666666666,150
Lamarckian,T,26,0.6666666666666666,150
Lamarckian,T,27,0.6666666666666666,150
Lamarckian,T,28,0.6666666666666666,150
Lamarckian,T,29,0.6666666666666666,150
Lamarckian,T,30,0.6666666666666666,150
Lamarckian,Plus,1,1.0,0
Lamarckian,Plus,2,1.0,6
Lamarckian,Plus,3,1.0,0
Lamarckian,Plus,4,1.0,0
Lamarckian,Plus,5,1.0,0
Lamarckian,Plus,6,1.0,0
Lamarckian,Plus,7,1.0,0
Lamarckian,Plus,8,1.0,0
Lamarckian,Plus,9,1.0,0
Lamarckian,Plus,10,1.0,0
Lamarckian,Plus,11,1.0,0
Lamarckian,Plus,12,1.0,0
Lamarckian,Plus,13,1.0,0
Lamarckian,Plus,14,1.0,0
Lamarckian,Plus,15,1.0,0
Lamarckian,Plus,16,1.0,0
Lamarckian,Plus,17,1.0,0
Lamarckian,Plus,18,1.0,0
Lamarckian,Plus,19,1.0,0
Lamarckian,Plus,20,1.0,0
Lamarckian,Plus,21,1.0,0
Lamarckian,Plus,22,1.0,0
Lamarckian,Plus,23,1.0,0
Lamarckian,Plus,24,1.0,0
Lamarckian,Plus,25,1.0,0
Lamarckian,Plus,26,1.0,0
Lamarckian,Plus,27,1.0,0
Lamarckian,Plus,28,1.0,0
Lamarckian,Plus,29,1.0,0
Lamarckian,Plus,30,1.0,0
Phenotype-First,L,1,1.0,5
Phenotype-First,L,2,1.0,7
Phenotype-First,L,3,1.0,13
Phenotype-First,L,4,1.0,5
Phenotype-First,L,5,1.0,7
Phenotype-First,L,6,1.0,14
Phenotype-First,L,7,1.0,52
Phenotype-First,L,8,1.0,15
Phenotype-First,L,9,1.0,4
Phenotype-First,L,10,1.0,22
Phenotype-First,L,11,1.0,13
Phenotype-First,L,12,1.0,4
Phenotype-First,L,13,1.0,8
Phenotype-First,L,14,1.0,11
Phenotype-First,L,15,1.0,7
Phenotype-First,L,16,1.0,3
Phenotype-First,L,17,1.0,0
Phenotype-First,L,18,1.0,11
Phenotype-First,L,19,1.0,18
Phenotype-First,L,20,1.0,19
Phenotype-First,L,21,1.0,12
Phenotype-First,L,22,1.0,18
Phenotype-First,L,23,1.0,31
Phenotype-First,L,24,1.0,32
Phenotype-First,L,25,1.0,1
Phenotype-First,L,26,1.0,12
Phenotype-First,L,27,1.0,0
Phenotype-First,L,28,1.0,13
Phenotype-First,L,29,1.0,11
Phenotype-First,L,30,1.0,43
Phenotype-First,T,1,1.0,1
Phenotype-First,T,2,1.0,9
Phenotype-First,T,3,1.0,4
Phenotype-First,T,4,1.0,3
Phenotype-First,T,5,1.0,5
Phenotype-First,T,6,1.0,10
Phenotype-First,T,7,1.0,12
Phenotype-First,T,8,1.0,1
Phenotype-First,T,9,1.0,2
Phenotype-First,T,10,1.0,24
Phenotype-First,T,11,1.0,6
Phenotype-First,T,12,1.0,17
Phenotype-First,T,13,1.0,1
Phenotype-First,T,14,1.0,7
Phenotype-First,T,15,1.0,11
Phenotype-First,T,16,1.0,2
Phenotype-First,T,17,1.0,25
Phenotype-First,T,18,1.0,5
Phenotype-First,T,19,1.0,7
Phenotype-First,T,20,1.0,23
Phenotype-First,T,21,1.0,1
Phenotype-First,T,22,1.0,2
Phenotype-First,T,23,1.0,1
Phenotype-First,T,24,1.0,17
Phenotype-First,T,25,1.0,3
Phenotype-First,T,26,1.0,4
Phenotype-First,T,27,1.0,3
Phenotype-First,T,28,1.0,12
Phenotype-First,T,29,1.0,9
Phenotype-First,T,30,1.0,4
Phenotype-First,Plus,1,1.0,0
Phenotype-First,Plus,2,1.0,0
Phenotype-First,Plus,3,1.0,0
Phenotype-First,Plus,4,1.0,0
Phenotype-First,Plus,5,1.0,0
Phenotype-First,Plus,6,1.0,0
Phenotype-First,Plus,7,1.0,0
